,type,timestamp,duration,Calories_Diff,reward
0,IN_VEHICLE,2019-04-30,18985.0,2.0,0.08
1,IN_VEHICLE,2019-05-01,15299.0,0.0,0.0
2,IN_VEHICLE,2019-05-02,33857.0,0.0,0.0
3,IN_VEHICLE,2019-05-03,20210.0,4.0,0.16
4,ON_BICYCLE,2019-05-06,29949.0,1.0,0.04
5,ON_FOOT,2019-04-30,205566.0,117.0,4.68
6,ON_FOOT,2019-05-01,908349.0,111.0,4.44
7,ON_FOOT,2019-05-02,254370.0,20.0,0.8
8,ON_FOOT,2019-05-03,163032.0,1043.0,41.72
9,ON_FOOT,2019-05-04,49165.0,12.0,0.48
10,ON_FOOT,2019-05-05,281196.0,31.0,1.24
11,ON_FOOT,2019-05-06,1453888.0,1660.0,66.4
12,STILL,2019-04-30,1100602.0,109.0,4.36
13,STILL,2019-05-01,5353917.0,803.0,32.12
14,STILL,2019-05-02,14586888.0,106.0,4.24
15,STILL,2019-05-03,5272153.0,49.0,1.96
16,STILL,2019-05-04,30795208.0,1277.0,51.080000000000005
17,STILL,2019-05-05,482896.0,85.0,3.4000000000000004
18,STILL,2019-05-06,7792740.0,14.0,0.5599999999999999
19,TILTING,2019-04-30,5033924.0,208.0,8.32
20,TILTING,2019-05-01,4270131.0,491.0,19.64
21,TILTING,2019-05-02,427363.0,2011.0,80.44
22,TILTING,2019-05-03,2050809.0,313.0,12.520000000000001
23,TILTING,2019-05-04,42014.0,189.0,7.5600000000000005
24,TILTING,2019-05-05,5953555.0,1547.0,61.88
25,TILTING,2019-05-06,264975.0,371.0,14.84
26,UNKNOWN,2019-04-30,239066.0,18.0,0.72
27,UNKNOWN,2019-05-01,538471.0,106.0,4.24
28,UNKNOWN,2019-05-02,315169.0,58.0,2.32
29,UNKNOWN,2019-05-03,274921.0,56.0,2.2399999999999998
30,UNKNOWN,2019-05-04,65402.0,277.0,11.08
31,UNKNOWN,2019-05-05,38701.0,4.0,0.16
32,UNKNOWN,2019-05-06,143361.0,31.0,1.24
